Name,Amount
"Cake Circle, Paprus",989
Edible Flower - Mixed,474
"Nut - Pistachio, Shelled",969
Lettuce - Iceberg,516
Tequila Rose Cream Liquor,961
Ice Cream - Vanilla,844
Bagelers - Cinn / Brown Sugar,672
"Pepper - Chipotle, Canned",235
Russian Prince,57
Hipnotiq Liquor,949
Chocolate Liqueur - Godet White,286
Onions - Red,261
Salt - Celery,425
Kale - Red,721
Energy Drink - Franks Pineapple,258
Bagel - Plain,373
Lid Coffeecup 12oz D9542b,291
Tea - Herbal Orange Spice,753
"Juice - Pineapple, 341 Ml",286
Muffin Mix - Banana Nut,54
Bread - Crusty Italian Poly,506
Liners - Baking Cups,167
Cheese - Parmigiano Reggiano,176
Venison - Liver,336
"Shrimp, Dried, Small / Lb",116
Veal - Slab Bacon,517
Juice - Cranberry 284ml,504
Beer - Upper Canada Light,87
Buffalo - Short Rib Fresh,751
Juice - Propel Sport,234
Beef - Shank,568
Bread - Raisin,205
Beer - Mill St Organic,409
Cake - Cheese Cake 9 Inch,601
"Beans - Fava, Canned",271
Raspberries - Fresh,300
"Napkin - Beverge, White 2 - Ply",537
Wine - Domaine Boyar Royal,486
"Coffee - Colombian, Portioned",777
Wine - Alicanca Vinho Verde,104
Bread - Bistro White,625
Vinegar - Raspberry,443
Table Cloth 62x120 Colour,784
Sauce - Caesar Dressing,694
"Roe - Lump Fish, Black",627
Compound - Passion Fruit,142
Bread - Hamburger Buns,200
Pasta - Agnolotti - Butternut,529
Marjoram - Fresh,284
Creamers - 10%,256
Juice - Orange 1.89l,908
Lidsoupcont Rp12dn,876
Ginger - Ground,780
Icecream - Dstk Super Cone,794
"Wine - Red, Colio Cabernet",900
Scrubbie - Scotchbrite Hand Pad,252
Chicken - Whole,923
Soup Campbells Split Pea And Ham,106
"Soup - Campbells, Beef Barley",394
Bar Special K,388
Egg - Salad Premix,408
Beans - Kidney White,673
"Beef - Tongue, Fresh",426
Alize Sunset,443
Crab - Meat,105
Sugar - Invert,305
"Lemonade - Natural, 591 Ml",432
Goulash Seasoning,634
Ham - Cooked,795
Truffle - Peelings,145
"Stock - Veal, White",990
Cheese Cheddar Processed,962
Clementine,585
Vol Au Vents,113
"Cheese - Mozzarella, Shredded",424
